,1,2,3,4,5,6,7,8,9,10,11,12
A,V,1C4,1K13,2C4,2J3,3D14,17A3,3I8,3N7,4C17,4H3,4K18
B,17I3,V,5B13,5E4,5J18,6C12,V,17A6,6F3,6J11,6M21,7A1
C,17A11,17I6,7C4,7E17,7K14,7N11,7O22,V,V,8B9,8E4,8J12
D,8K21,17A14,17A17,8O14,9B11,9E16,9J22,9M21,17I9,9P14,10A21,10G4
E,10H12,10J24,V,10M4,V,10P20,11E9,11H23,17A21,11L11,17B4,11M13
F,11O16,12A13,12C24,12F22,17I16,12I16,12K21,12N11,13A16,13D7,V,V
G,13J13,13L24,13O9,14A23,17B8,17B11,14C8,14E23,15D22,15G1,15M9,17I19
H,16A21,16E21,16G16,16I6,16K8,V,16M8,16N10,V,V,V,17B15
