,1,2,3,4,5,6,7,8,9,10,11,12
A,V,1F18,1K14,2C6,2L15,3D18,17A4,3I11,3O6,4D24,4H19,4M3
B,17I4,V,5B21,5G17,5K19,6E16,V,17A7,6G17,6L19,6O19,7A15
C,17A12,17I7,7C5,7H20,7L9,7O4,7O24,V,V,8C5,8G13,8J16
D,8K24,17A15,17A18,8P9,9C7,9E22,9L21,9O21,17I10,9P18,10A24,10G7
E,10H21,10K6,V,V,10M11,10P21,11G18,11I3,17A22,17B1,11L23,11M14
F,11O18,12A15,12E6,17I13,12H2,12J12,12L20,12N18,13B10,V,13D17,V
G,13J19,13M9,13O21,17B5,14B3,17B12,14C14,14F7,15E22,15J18,15P2,17I20
H,16A24,16F11,16G23,16I9,16K22,V,16M19,16O6,V,V,V,17B16
